date,account_id,user_id
2021-01-01 00:00:00,A1,U1
2021-01-01 00:00:00,A1,U2
2021-01-06 00:00:00,A1,U3
2021-01-02 00:00:00,A1,U1
2020-12-24 00:00:00,A1,U2
2020-12-08 00:00:00,A1,U1
2020-12-09 00:00:00,A1,U1
2021-01-10 00:00:00,A2,U4
2021-01-11 00:00:00,A2,U4
2021-01-12 00:00:00,A2,U4
2021-01-15 00:00:00,A2,U5
2020-12-17 00:00:00,A2,U4
2020-12-25 00:00:00,A3,U6
2020-12-25 00:00:00,A3,U6
2020-12-25 00:00:00,A3,U6
2020-12-06 00:00:00,A3,U7
2020-12-06 00:00:00,A3,U6
2021-01-14 00:00:00,A3,U6
2021-02-07 00:00:00,A1,U1
2021-02-10 00:00:00,A1,U2
2021-02-01 00:00:00,A2,U4
2021-02-01 00:00:00,A2,U5
2020-12-05 00:00:00,A1,U8
